,target,id,date,flag,user,text
725945,0,2262449609,Sat Jun 20 22:32:03 PDT 2009,NO_QUERY,thorgalsen,"cvs, mall, stop &amp; shop, wal-mart, &amp; cleaning.  txt cause i'll be bored "
1554998,4,2185030529,Mon Jun 15 16:46:50 PDT 2009,NO_QUERY,haliiii,Just bought so much stuff from cvs... 3D SIDEWALK CHALK 
1333704,4,2016499230,Wed Jun 03 06:53:03 PDT 2009,NO_QUERY,JRink22,4 hrs of sleep - not cool. back to bed ... MY bed 
1039600,4,1956836172,Thu May 28 22:48:52 PDT 2009,NO_QUERY,MzCandyLand,Itz always nice having a friend who is willing to lay everything out. I wrote 2 poems n I'm feeling much better 
80730,0,1752440879,Sat May 09 21:55:59 PDT 2009,NO_QUERY,SammyJonas,didn't get the answer she wanted... This really sucks 
96049,0,1792445642,Wed May 13 23:09:31 PDT 2009,NO_QUERY,seenidaddy,sitting here.. isn't fun anymore.. 
572005,0,2209094421,Wed Jun 17 10:00:10 PDT 2009,NO_QUERY,omgzcaitlin,"I wanna reaaaaad &amp; watch the White Sox. Instead, I have to work &amp; then work again. "
1551714,4,2184185496,Mon Jun 15 15:32:36 PDT 2009,NO_QUERY,cynthiahasbani,@kristinburns please don't tease 
1081658,4,1968497270,Fri May 29 21:33:43 PDT 2009,NO_QUERY,kaylabelam,"sooo ; i'm in vegas, just text me, twitter is the least of my worries "
25327,0,1558307891,Sun Apr 19 07:58:09 PDT 2009,NO_QUERY,Lynnloca,@MariahCarey I feel like a bad fan missing the NTTs and &quot;all that jazz.&quot; Was sleepting. 
924768,4,1755093076,Sun May 10 08:14:16 PDT 2009,NO_QUERY,gabrielle_brand,confused by all this 
520427,0,2192110998,Tue Jun 16 06:31:33 PDT 2009,NO_QUERY,BLevi77,"i havent seen the stars in weeks, makes me sad  good night twittervers xo"
172421,0,1963569748,Fri May 29 12:55:25 PDT 2009,NO_QUERY,demonkid666,@Clubpenguinfan3 I guess that boner story isn't so funny I've had TONS of boner moments like that unfourtantly 
1111546,4,1972244104,Sat May 30 08:51:23 PDT 2009,NO_QUERY,kobraman88,@MandyyJirouxx goodmorning to you mandy. hope you have a good day 
1137724,4,1976767357,Sat May 30 19:00:38 PDT 2009,NO_QUERY,aprillavalle,sore throat.  watching taken with mum and dad 
506802,0,2188746537,Mon Jun 15 22:28:56 PDT 2009,NO_QUERY,Lunnita,"It's raining lots, I can' believe this "
1424821,4,2058931301,Sat Jun 06 15:54:53 PDT 2009,NO_QUERY,tjt72,@lesliesinks  I'm sure it would be. They R a bunch of nice guys.  That's 1 reason why I like them.
1496121,4,2070069267,Sun Jun 07 17:02:30 PDT 2009,NO_QUERY,emilywalkerr,@yourmotherr how can you hate october sky?! i love the lion king also  its tied with happy gilmore.
424590,0,2063133792,Sun Jun 07 01:29:32 PDT 2009,NO_QUERY,vixenite69,@thelongmile mee 
553682,0,2203681510,Wed Jun 17 00:17:14 PDT 2009,NO_QUERY,pabloat,At Work... 
359519,0,2045840852,Fri Jun 05 11:18:53 PDT 2009,NO_QUERY,RoxyONeill,@nicecreams Their rescue balm is a total must-have! Currently using mine on the green bump on my head 
1523244,4,2176551494,Mon Jun 15 04:10:18 PDT 2009,NO_QUERY,Krispyb,I think Im going to take driving lessons. 
636719,0,2233992747,Thu Jun 18 22:14:31 PDT 2009,NO_QUERY,sankofa1214,@msnette13 seriously nette I'm relaxing my hair!  its too much this natural. Soon as I get it pressed. Hours later POOF!
1523253,4,2176551821,Mon Jun 15 04:10:21 PDT 2009,NO_QUERY,claarke,@MojoHoward text me  xxxx
535046,0,2197764580,Tue Jun 16 15:08:24 PDT 2009,NO_QUERY,Jem_x,*sighs* Writing never used to be this hard. 
485966,0,2181344000,Mon Jun 15 11:42:01 PDT 2009,NO_QUERY,ronda21080,@thereasonwhy hope your car gets fixed soon! i gotta drag my mom and sis tonight and they dont wanna go 
677216,0,2248620803,Fri Jun 19 20:54:59 PDT 2009,NO_QUERY,benjaminjohnsto,3 long hours until my beautiful wife returns. 
1499952,4,2071014384,Sun Jun 07 18:41:16 PDT 2009,NO_QUERY,dizneluver,@WestSideStry I look forward to seeing it  #tony I am in the mtn time zone
1541787,4,2180900093,Mon Jun 15 11:05:40 PDT 2009,NO_QUERY,ResPres,@tamcdonald I was on my way to being Mayor of LAX when I realized I didn't want the title.  #rebcchi
964842,4,1827558176,Sun May 17 10:58:03 PDT 2009,NO_QUERY,mstoya,"Star date 51709-2p TOYA's log: &quot;Twitter continues 2 decrease my work productivity. Twission suspended!&quot; Happy Sunday, tweet ya lata "
316142,0,2002344133,Tue Jun 02 03:56:19 PDT 2009,NO_QUERY,Alexmilway,so am I going to have to buy an Xbox in order to play The Beatles Rock Band game 
749059,0,2284820043,Mon Jun 22 14:21:25 PDT 2009,NO_QUERY,NatHopkins,@kayharkins I hope so  that was quite upsetting to read
1112598,4,1972438549,Sat May 30 09:13:32 PDT 2009,NO_QUERY,MizzWelch,"@ntinaz Just read ur bio, I am a pug owner and HRC supporter, so ur gettin' a big fat follow back "
1512432,4,2175223650,Mon Jun 15 00:24:28 PDT 2009,NO_QUERY,decemberglow,"@aini YOU BET I WILL. PM ME ON ICHAT OR WHATEVER, I'LL SUPPLY YOU WITH EVERYTHING "
265081,0,1988731169,Sun May 31 23:12:34 PDT 2009,NO_QUERY,mitzidoodle,@YoungQ sweetie..your page requires a password  
1063823,4,1964546288,Fri May 29 14:24:33 PDT 2009,NO_QUERY,LoveEvent,Now in Sthlm  Read interesting article in &quot;Gate&quot; about in-game advertising. Will blog about it soon. Tomorrow: cake decorati (bloggy.se)
969842,4,1827985921,Sun May 17 11:51:25 PDT 2009,NO_QUERY,fairybabyb,"@MattLewisMusic ah it was really bad rain huh, sun was shining today though here  x"
1434119,4,2060578669,Sat Jun 06 19:10:13 PDT 2009,NO_QUERY,illClinton904,@MsShan22 I am just trying to introduce you to something interesting.  I see my help is not appreciated 
1379826,4,2052172229,Fri Jun 05 23:52:54 PDT 2009,NO_QUERY,robynnecyndie,looking forward to this evening... going to a stand-up comedy show hosted by Mario Barth 
475153,0,2177519193,Mon Jun 15 06:14:57 PDT 2009,NO_QUERY,Lancerman123,@michellelynn69 aww sorry you were alone  but could you please tell me what kind of business it was?? LOL
697868,0,2253944804,Sat Jun 20 08:59:26 PDT 2009,NO_QUERY,dman675,Does anyone play armored core online anymore...i feel so lonely....    
537896,0,2198916218,Tue Jun 16 16:45:20 PDT 2009,NO_QUERY,tluna,so i didn't tweet at midnite  obviously i need to work on my napping skills.
582629,0,2214680711,Wed Jun 17 17:05:02 PDT 2009,NO_QUERY,mitchmillion,"she not showin me no love, no good "
1375754,4,2051643055,Fri Jun 05 22:28:18 PDT 2009,NO_QUERY,latinachick,Bout 2 head on down 2 texas! 
348734,0,2016879623,Wed Jun 03 07:30:30 PDT 2009,NO_QUERY,denniscaswell,"@ChickswKnives excellent. Isn't that funny to you? - my calling you that?,,,Just me then, sorry "
76415,0,1695645695,Mon May 04 06:37:41 PDT 2009,NO_QUERY,blumie,"Finishing last essay to the sweet smell of...horribly burnt bagel.  It was a microwave fire.  Toaster is almost excusable, but microwave? "
1157204,4,1979162655,Sun May 31 01:53:28 PDT 2009,NO_QUERY,kerrzinho,Gotta love the sunshine!! 
1515135,4,2175564593,Mon Jun 15 01:20:48 PDT 2009,NO_QUERY,ewwitssjessica,"The hangover=amazingness. goodnighttttt,  hugggs "
762383,0,2297813920,Tue Jun 23 10:54:21 PDT 2009,NO_QUERY,jennriley,I have been on the verge of tears all day. I'm having a horrible day. I wish I was at home with my boyfriend 
513950,0,2190508736,Tue Jun 16 02:56:05 PDT 2009,NO_QUERY,xxbandgroupiexx,Took a nap after work yesterday.  Just woke up...  And guess what?  i am sick!  
1059666,4,1963285085,Fri May 29 12:29:34 PDT 2009,NO_QUERY,kdauburnfan,@CaitiCaitlin nummy! I still have to go run but I have my Smart Water 
394965,0,2055759372,Sat Jun 06 09:54:17 PDT 2009,NO_QUERY,sheilaghrennie,@nevthomas that is the saddest thing I have ever heard 
1106433,4,1971425758,Sat May 30 07:04:56 PDT 2009,NO_QUERY,fjkeogh,@MadgeC better with 25 sec gone than 25 to go 
364236,0,2048094009,Fri Jun 05 14:39:14 PDT 2009,NO_QUERY,cariine_,@dougiemcfly I will never give up of know you and never give up of have a awnser on twitter. (sorry for the english) 
733592,0,2264352169,Sun Jun 21 03:35:44 PDT 2009,NO_QUERY,mileediwinter,"@EmmiV It  w a s  a portrait of a good friend of mine, but I managed to mess it up last night. *sniff* "
602335,0,2221369017,Thu Jun 18 05:15:04 PDT 2009,NO_QUERY,VinDeSo,Is missing my phone vibrate from getting texts 
998496,4,1836281036,Mon May 18 07:42:56 PDT 2009,NO_QUERY,LexiJ25,@letoyaluckett im on my way 2 my moms now 
462394,0,2174682640,Sun Jun 14 23:04:41 PDT 2009,NO_QUERY,roxxie_girl,"@sweet_kiwi57 i did and it didn't work it just changed the color of the column containing my followers, updates, blah, blah, blah, "
630950,0,2232164535,Thu Jun 18 19:32:22 PDT 2009,NO_QUERY,LA_WHITE,@anastasiahrabar  i feel you tho. Do ya damn thang.
986360,4,1834560982,Mon May 18 03:24:09 PDT 2009,NO_QUERY,MysteriousSylph,@ShashiTharoor Loads of good luck... being sent ur way Sir. 
883977,4,1686218959,Sun May 03 04:23:19 PDT 2009,NO_QUERY,ullemon,@babygirlparis http://twitpic.com/4g0wz - Stunning couple! Love the necklace 
511657,0,2189952478,Tue Jun 16 01:21:09 PDT 2009,NO_QUERY,_janine_,Uhmm... what about spending summer holidays in the USA?? The only problem is that nobody wants to come with me 
634740,0,2233398111,Thu Jun 18 21:17:43 PDT 2009,NO_QUERY,disthename,Watching the news breaks my heart over the turmoil going on in other countries. 
706378,0,2256668344,Sat Jun 20 13:07:25 PDT 2009,NO_QUERY,carlatowns,"Completing our last day of camping at north myrtle beach-it has been a great vacation, sad to see it end "
1170096,4,1980332225,Sun May 31 06:25:53 PDT 2009,NO_QUERY,CAI220,Can't stop laughing at Acid Storm and Slipstream's make out fest  Gross and funny at the same time LOL.
1255284,4,1997254128,Mon Jun 01 16:31:30 PDT 2009,NO_QUERY,MacLemon,@rickosborneorg You just need the right Launchd Trigger Item to make it work. mlbackup is tested for autobackup of USB-Sticks since r142 
564213,0,2206137931,Wed Jun 17 06:04:01 PDT 2009,NO_QUERY,plusnet,@mikelane just tried sending you a DM but you're not following us? 
879538,4,1685464351,Sun May 03 00:30:26 PDT 2009,NO_QUERY,MaddieandAshley,"@mileycyrus http://twitpic.com/326b5 - ohh cute! i wanna have this dog, too "
539008,0,2199285289,Tue Jun 16 17:16:54 PDT 2009,NO_QUERY,swappersaba,My tummy hurts 
1071724,4,1966376463,Fri May 29 17:39:14 PDT 2009,NO_QUERY,LockieLegend,@AlanCarr Dont be Darthed haha like it!!!  Flawless or Jullian I want to win!
544607,0,2201167648,Tue Jun 16 19:54:03 PDT 2009,NO_QUERY,Indy93,argh fast food is so hard 
162535,0,1957565783,Fri May 29 00:54:11 PDT 2009,NO_QUERY,leeveritymusic,Tummy bugs are lame! Got about an hours sleep if that. 
994059,4,1835487744,Mon May 18 06:06:18 PDT 2009,NO_QUERY,creativeluggage,"@HaloHeadbandz He, he  my eyes are for private eyes only. Hire me and you'll see them  Thank you for the follow by the way"
472405,0,2176834471,Mon Jun 15 04:51:53 PDT 2009,NO_QUERY,dannyp21,"Sat in food tech on a free, yawn! Wana go hoooome "
379165,0,2052277474,Sat Jun 06 00:12:02 PDT 2009,NO_QUERY,ryankelly81,@IHeartSheena oops my bad sheen! LOL meant 2 send that 2 pascale! Durrrrrrrrrr! I'm so tipsy I'm really trippin! 
1496629,4,2070172054,Sun Jun 07 17:13:13 PDT 2009,NO_QUERY,tkim187,In the car with my baby 
167977,0,1961968715,Fri May 29 10:19:12 PDT 2009,NO_QUERY,Anyelday,@SweetHomeBirth  link isn't working
1342832,4,2033646009,Thu Jun 04 13:00:05 PDT 2009,NO_QUERY,lipstickmasala,"@nicky_t thanks for the tip, will definitely check it out! "
1073138,4,1966728647,Fri May 29 18:17:29 PDT 2009,NO_QUERY,mithylah,"today i planted all my tomatoes and hot peppers in my garden  [still have to get some egg plants, and some more hot peppers]"
623545,0,2229597615,Thu Jun 18 15:56:37 PDT 2009,NO_QUERY,Pasiphae9,@kayleeosaurus NEVER. Leanne likes it in your mind. And she has also failed twice already 
789230,0,2325329985,Thu Jun 25 05:14:26 PDT 2009,NO_QUERY,dexterperrin,missing atMedia  but the rain at Glastonbury has stopped (for the moment)
556363,0,2204261823,Wed Jun 17 01:45:08 PDT 2009,NO_QUERY,rajdatta,Missed 1968 .. wasn't born  but 2009 is making up for it \../ Woodstock rerun anyone?
1162811,4,1979621081,Sun May 31 03:50:07 PDT 2009,NO_QUERY,anotions,"Making this (http://tr.im/mWKC) for our church picnic today, then getting ready, then going to go enjoy the BEAUTIFUL day  Yay!"
909910,4,1751395683,Sat May 09 19:21:02 PDT 2009,NO_QUERY,rachluvsdmb,hubby is snoring!  but I still love him 
1430964,4,2059998972,Sat Jun 06 18:03:38 PDT 2009,NO_QUERY,KikiRoman,watching best 100 songs of the 80's on VH1. i wish i was born in that decade. the music kicks ass. 
19364,0,1556833945,Sun Apr 19 00:34:26 PDT 2009,NO_QUERY,dlefavi,rascal flatts : here comes goodbye  so sad 
958459,4,1825741944,Sun May 17 06:42:05 PDT 2009,NO_QUERY,Kizz101,I have decided on scrambled eggs and bacon for breakfast tomorrow.... still about 8 hours away but I can hack it 
381895,0,2052875987,Sat Jun 06 02:22:16 PDT 2009,NO_QUERY,_RACHA3L_,Where's my sun?? 
716509,0,2259724140,Sat Jun 20 18:03:29 PDT 2009,NO_QUERY,dinobonoid,Still very sick. 102*F fever. 
1487132,4,2068218796,Sun Jun 07 13:42:14 PDT 2009,NO_QUERY,itsRIAbitch,@AnsherinaAng suck it fool! you're right beside me 
1423568,4,2058709004,Sat Jun 06 15:28:37 PDT 2009,NO_QUERY,johnhood,@digitalmaverick  BTW did you read my Sims 3 tweet?
897266,4,1693294977,Sun May 03 22:06:51 PDT 2009,NO_QUERY,gRaCeIe_Lou,Readin seventeen mag 
905986,4,1695251675,Mon May 04 05:38:56 PDT 2009,NO_QUERY,david_n_wilson,@Maggiedeephoto Thankfully that face only shows up for photoshoots 
1313938,4,2013842958,Tue Jun 02 23:43:49 PDT 2009,NO_QUERY,thegreatsirchad,@gregorychang @sochews bought the tixs    dont be late
117328,0,1827619005,Sun May 17 11:05:31 PDT 2009,NO_QUERY,temperance1995,just got the mcfly radio:active dvd... aint watched it yet though 
1419643,4,2058008353,Sat Jun 06 14:05:12 PDT 2009,NO_QUERY,landerlabs,In case questions arise - we aren't a web design firm. We're sorry if we don't provide a service you need. We'll do our best to refer you 
773551,0,2303303921,Tue Jun 23 18:00:28 PDT 2009,NO_QUERY,toasty33,@kmck87 oh that is sad... 
72061,0,1694127774,Mon May 04 01:12:48 PDT 2009,NO_QUERY,thenoirproject,MyCardboardLife.com 100% Operational again! Server transferring close to complete. Unrehearsed Riot will have down time tomorrow. Sorry. 
1072903,4,1966656804,Fri May 29 18:09:41 PDT 2009,NO_QUERY,laurennelise,redbox movies + baked lays + clean sheets = perfect chill night 
1185522,4,1982787342,Sun May 31 11:54:10 PDT 2009,NO_QUERY,Kosiem,MUAHAHAHA....You will see only smile on my face and hear my cruel laugh while he'll be watchin' SW or JB 
127028,0,1834641914,Mon May 18 03:42:09 PDT 2009,NO_QUERY,HannahSutker,@charley olmer haha i know!! It's white lol and so is emily's new one. But we have school when you come down 
1413708,4,2056895709,Sat Jun 06 11:59:53 PDT 2009,NO_QUERY,noahcyrus8,@chickybarbwire I love it 
91188,0,1759382476,Sun May 10 19:05:26 PDT 2009,NO_QUERY,lisabrie,"back home in Joliet, finally unpacked all of the shit i accumulated over the past 4 years...work starts tomorrow "
1172367,4,1980617863,Sun May 31 07:13:59 PDT 2009,NO_QUERY,vannyyy,@brittanydubs ya! You should get a pedi then and I'll get my fill  Tuesday after I get off work perhaps?
1357841,4,2048094279,Fri Jun 05 14:39:15 PDT 2009,NO_QUERY,Juicebox275,A split is so gay..for my jj people a split is real job lingo for FML 
638922,0,2234589455,Thu Jun 18 23:20:49 PDT 2009,NO_QUERY,iLiammm,@robertsammons stressed about exam at 9 
1035606,4,1956210160,Thu May 28 21:24:16 PDT 2009,NO_QUERY,scarlettstvitus,"@Therweeta That's the one!  I was soo excited!    He wore it that whole day, so it's also in his Idolatry and US weekly interviews.  YAY!"
1550470,4,2183794717,Mon Jun 15 14:59:48 PDT 2009,NO_QUERY,chriztinuhh,"So I finally got all the crystals and cutesy pieces I ordered from japan, time to decorate  http://twitpic.com/7hwmw"
749218,0,2284935710,Mon Jun 22 14:30:05 PDT 2009,NO_QUERY,kirstenlovesjb,i'm paranoid if the tickets i want get sold   and i hope they don't go up in price as well
1346476,4,2044312558,Fri Jun 05 09:10:31 PDT 2009,NO_QUERY,mellymel10,good morning 
1581252,4,2190162881,Tue Jun 16 01:57:00 PDT 2009,NO_QUERY,michael_ormonde,21 - 7 Blazzers over Marley. We're on a bit of a roll 
281277,0,1992282870,Mon Jun 01 08:30:04 PDT 2009,NO_QUERY,greenyclara,@witnessamiracle HEY eunice!  Juliette told me the lyrics booklet is sold out!! ahh so there's no more?!?! 
591128,0,2217553794,Wed Jun 17 21:02:11 PDT 2009,NO_QUERY,BrandyMain,dang!! my freakin hair is turning brown  im gonna look like crap!
1518445,4,2175964636,Mon Jun 15 02:31:02 PDT 2009,NO_QUERY,rlyneMARIE,playing with the cat.meow 
1324968,4,2015072089,Wed Jun 03 03:36:46 PDT 2009,NO_QUERY,teakkk,back from yarnshopping for friend!  Now making Gazpacho for lunch! http://www.bbcgoodfood.com/recipes/4430/gazpacho
936081,4,1792915434,Thu May 14 00:41:18 PDT 2009,NO_QUERY,KISStheBOY,"Collosians 1:17 - He is before all things, and in Him all things hold together. - Our hope is in God alone to make all things new... "
1202037,4,1985786900,Sun May 31 17:46:16 PDT 2009,NO_QUERY,writerlexiryan,"@Dhympna If it inspires analysis, that's a step in the right direction, seems to me.  Maybe &quot;eenie meanie&quot;..."
551004,0,2203053686,Tue Jun 16 22:56:10 PDT 2009,NO_QUERY,LetterstoRYAN,@walelia of course I did! Dang it though! They lost!  I got a good photo though! Haha! http://twitpic.com/7lqpm
